market_value,age,height,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months,point_of_tournament,pos_D,pos_F,pos_G,pos_M,foot_Both,foot_Left,foot_Right,cluster
90,31,185,0,0,11,0,0,48,11,45,54,7.09,21,1292.59,False,False,True,False,False,False,True,0
455,30,177,60,63,32,32,52,0,0,0,0,7.19,23,1292.59,False,False,False,True,False,False,True,2
325,24,165,46,56,35,40,44,0,0,0,0,6.72,24,1292.59,False,False,False,True,False,False,True,2
220,32,168,50,58,37,30,54,0,0,0,0,7.11,24,1292.59,False,False,False,True,False,True,False,6
105,35,189,36,47,50,61,34,0,0,0,0,6.9,22,1292.59,True,False,False,False,False,False,True,3
290,26,180,38,58,44,49,42,0,0,0,0,6.92,27,1292.59,True,False,False,False,False,True,False,5
390,24,180,43,60,40,46,48,0,0,0,0,7.02,26,1292.59,True,False,False,False,False,True,False,5
485,24,178,53,69,35,36,51,0,0,0,0,7.24,26,1292.59,False,False,False,True,False,False,True,2
290,21,175,51,71,19,25,47,0,0,0,0,6.57,23,1292.59,False,False,False,True,False,False,True,2
105,33,180,35,46,54,59,40,0,0,0,0,6.87,21,1292.59,True,False,False,False,False,False,True,3
385,23,188,0,0,17,0,0,54,27,45,47,7.37,26,1292.59,False,False,True,False,False,False,True,0
790,28,172,60,71,35,21,45,0,0,0,0,7.07,24,1292.59,False,True,False,False,False,False,True,4
535,24,175,48,50,33,36,51,0,0,0,0,6.96,25,1292.59,False,False,False,True,False,False,True,2
375,29,185,43,55,47,47,43,0,0,0,0,6.93,25,1292.59,False,False,False,True,False,False,True,2
320,29,183,0,0,11,0,0,51,22,45,49,7.02,22,1292.59,False,False,True,False,False,False,True,0
425,31,189,63,66,41,20,50,0,0,0,0,7.11,23,1292.59,False,True,False,False,False,False,True,4
290,22,182,53,65,30,30,44,0,0,0,0,6.71,23,1292.59,False,False,False,True,False,False,True,2
46,34,182,51,56,35,34,44,0,0,0,0,6.95,26,1292.59,False,False,False,True,True,False,False,8
