market_value,age,height,preferred_foot,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months,point_of_tournament,pos_D,pos_F,pos_G,pos_M
0.03764217229572858,0.2222222222222222,0.6600000000000001,0.5,0.7234042553191489,0.5729166666666666,0.5,0.358695652173913,0.494949494949495,0.0,0.0,0.0,0.0,0.36475409836065564,0.41071428571428575,0.9999999999999999,0.0,1.0,0.0,0.0
0.01263923827796119,0.33333333333333326,0.45999999999999996,1.0,0.6595744680851063,0.5,0.5375000000000001,0.34782608695652173,0.4747474747474748,0.0,0.0,0.0,0.0,0.25,0.48214285714285715,0.9999999999999999,0.0,1.0,0.0,0.0
0.0060058068038596375,0.2222222222222222,0.56,1.0,0.6808510638297872,0.53125,0.425,0.31521739130434784,0.48484848484848486,0.0,0.0,0.0,0.0,0.22540983606557363,0.42857142857142855,0.9999999999999999,0.0,1.0,0.0,0.0
0.014680294116146282,0.2222222222222222,0.52,0.5,0.6170212765957447,0.625,0.45,0.41304347826086957,0.595959595959596,0.0,0.0,0.0,0.0,0.2581967213114753,0.48214285714285715,0.9999999999999999,0.0,0.0,0.0,1.0
0.0060058068038596375,0.4444444444444444,0.6200000000000001,1.0,0.5851063829787234,0.5208333333333333,0.37500000000000006,0.358695652173913,0.4444444444444445,0.0,0.0,0.0,0.0,0.23360655737704938,0.49999999999999994,0.9999999999999999,0.0,0.0,0.0,1.0
0.015700822035238832,0.2592592592592593,0.20000000000000018,0.5,0.5638297872340425,0.5729166666666666,0.35000000000000003,0.532608695652174,0.5656565656565657,0.0,0.0,0.0,0.0,0.2581967213114753,0.5357142857142856,0.9999999999999999,0.0,0.0,0.0,1.0
0.0038371849757879756,0.5185185185185186,0.33999999999999986,0.5,0.6382978723404256,0.5833333333333333,0.4875,0.45652173913043476,0.5757575757575758,0.0,0.0,0.0,0.0,0.3155737704918029,0.49999999999999994,0.9999999999999999,0.0,0.0,0.0,1.0
0.007536598682498457,0.2962962962962963,0.2799999999999998,1.0,0.5425531914893617,0.5729166666666666,0.37500000000000006,0.532608695652174,0.5151515151515152,0.0,0.0,0.0,0.0,0.2459016393442619,0.48214285714285715,0.9999999999999999,0.0,0.0,0.0,1.0
0.009067390561137275,0.37037037037037035,0.2999999999999998,1.0,0.5212765957446809,0.5625,0.5250000000000001,0.5869565217391304,0.5454545454545455,0.0,0.0,0.0,0.0,0.25409836065573765,0.48214285714285715,0.9999999999999999,0.0,0.0,0.0,1.0
0.0060058068038596375,0.40740740740740744,0.43999999999999995,1.0,0.6170212765957447,0.5104166666666666,0.3625,0.3913043478260869,0.5353535353535354,0.0,0.0,0.0,0.0,0.23360655737704938,0.125,0.9999999999999999,0.0,0.0,0.0,1.0
0.0012348387821019813,0.5185185185185186,0.2599999999999998,1.0,0.4787234042553191,0.5,0.575,0.7282608695652174,0.5050505050505051,0.0,0.0,0.0,0.0,0.2295081967213113,0.017857142857142877,0.9999999999999999,1.0,0.0,0.0,0.0
0.00957765452068355,0.2962962962962963,0.48,1.0,0.39361702127659576,0.4375,0.5875000000000001,0.7717391304347826,0.33333333333333337,0.0,0.0,0.0,0.0,0.2745901639344259,0.48214285714285715,0.9999999999999999,1.0,0.0,0.0,0.0
0.0031228154324231924,0.5185185185185186,0.56,1.0,0.35106382978723405,0.44791666666666663,0.5875000000000001,0.8043478260869565,0.38383838383838387,0.0,0.0,0.0,0.0,0.2008196721311477,0.0892857142857143,0.9999999999999999,1.0,0.0,0.0,0.0
0.001719589543670941,0.5555555555555556,0.5800000000000001,1.0,0.39361702127659576,0.4895833333333333,0.6125,0.7717391304347826,0.4444444444444445,0.0,0.0,0.0,0.0,0.24180327868852425,0.2142857142857143,0.9999999999999999,1.0,0.0,0.0,0.0
0.001719589543670941,0.6666666666666665,0.3999999999999999,1.0,0.3723404255319149,0.4270833333333333,0.55,0.717391304347826,0.4141414141414142,0.0,0.0,0.0,0.0,0.2008196721311477,0.32142857142857145,0.9999999999999999,1.0,0.0,0.0,0.0
0.003531026600060211,0.5185185185185186,0.33999999999999986,0.5,0.425531914893617,0.4583333333333333,0.4625000000000001,0.7065217391304348,0.4747474747474748,0.0,0.0,0.0,0.0,0.25409836065573765,0.37499999999999994,0.9999999999999999,1.0,0.0,0.0,0.0
0.0013624047719885497,0.6666666666666665,0.56,0.5,0.0,0.0,0.5375000000000001,0.0,0.0,0.7303370786516854,0.68,0.6262626262626263,0.6931818181818182,0.38524590163934436,0.5714285714285714,0.9999999999999999,0.0,0.0,1.0,0.0
0.016721349954331378,0.33333333333333326,0.31999999999999984,1.0,0.7127659574468085,0.5729166666666666,0.45,0.3695652173913043,0.5050505050505051,0.0,0.0,0.0,0.0,0.2745901639344259,0.49999999999999994,0.9999999999999999,0.0,1.0,0.0,0.0
0.0032248682243324472,0.2962962962962963,0.48,1.0,0.5957446808510638,0.5416666666666666,0.3625,0.45652173913043476,0.494949494949495,0.0,0.0,0.0,0.0,0.26639344262295106,0.30357142857142855,0.9999999999999999,0.0,1.0,0.0,0.0
0.0031483286304005063,0.4444444444444444,0.5,1.0,0.6595744680851063,0.4270833333333333,0.28750000000000003,0.25,0.4040404040404041,0.0,0.0,0.0,0.0,0.15163934426229497,0.39285714285714285,0.9999999999999999,0.0,1.0,0.0,0.0
