Cedric Badolo,560K €,Sheriff,Moldova,Super Liga,BUR,4 Nov 1998,25 yrs,170 cm,Right,M,10,50,48,32,33,50,0,0,0,0,6.88,25
Jerome Mbekeli,580K €,Sheriff,Moldova,Super Liga,CMR,30 Sept 1998,25 yrs,175 cm,Both,M,17,57,65,27,30,53,0,0,0,0,7.04,24
João Paulo,520K €,Sheriff,Moldova,Super Liga,CPV,26 May 1998,25 yrs,176 cm,Left,M,8,51,58,43,46,53,0,0,0,0,7.05,30
Peter Oluwaseun Ademo,670K €,Sheriff,Moldova,Super Liga,NGR,11 Jan 2003,21 yrs,184 cm,Left,M,69,51,62,47,46,49,0,0,0,0,7.08,16
Tyler Reid,325K €,Sheriff,Moldova,Super Liga,ENG,2 Sept 1997,26 yrs,186 cm,Right,M,20,54,76,37,41,54,0,0,0,0,7.33,26
Armel Zohouri,570K €,Sheriff,Moldova,Super Liga,CIV,5 Apr 2001,23 yrs,176 cm,Right,D,20,38,51,41,57,46,0,0,0,0,7.11,19
Konstantinos Apostolakis,320K €,Sheriff,Moldova,Super Liga,GRE,28 May 1999,24 yrs,178 cm,Right,D,16,40,49,42,53,44,0,0,0,0,6.85,18
Cristian Tovar,755K €,Sheriff,Moldova,Super Liga,COL,6 May 1998,25 yrs,182 cm,Right,D,23,38,45,60,72,36,0,0,0,0,6.96,30
Alejandro Artunduaga,245K €,Sheriff,Moldova,Super Liga,COL,9 Sept 1997,26 yrs,174 cm,Left,D,28,39,54,36,51,40,0,0,0,0,6.9,21
Didier Bueno,260K €,Sheriff,Moldova,Super Liga,COL,30 Oct 2000,23 yrs,190 cm,Right,D,3,39,47,59,69,41,0,0,0,0,7.26,11
Bernardo Vilar,230K €,Sheriff,Moldova,Super Liga,BRA,12 Feb 1998,26 yrs,194 cm,Left,D,33,34,42,50,59,35,0,0,0,0,7.01,17
Sergiu Plătică,265K €,FC Petrocub Hîncesti,Moldova,Super Liga,MDA,9 Jun 1991,32 yrs,185 cm,Right,D,13,56,72,48,48,53,0,0,0,0,7.56,20
Vadim Bolohan,73K €,FC Milsami Orhei,Moldova,Super Liga,MDA,15 Aug 1986,37 yrs,188 cm,Right,D,23,38,54,58,58,45,0,0,0,0,7.38,16
Amy Recha,52K €,Albirex Niigata Singapore,Singapore,Premier League,SIN,13 May 1992,31 yrs,171 cm,Right,F,7,57,56,39,30,42,0,0,0,0,6.76,23
Koki Kawachi,120K €,Albirex Niigata Singapore,Singapore,Premier League,JPN,10 May 2000,23 yrs,180 cm,Right,D,4,39,48,51,56,41,0,0,0,0,7.05,17
Hassan Sunny,55K €,Albirex Niigata Singapore,Singapore,Premier League,SIN,2 Apr 1984,40 yrs,185 cm,Left,G,18,0,0,24,0,0,57,32,46,54,6.82,18
Richairo Živković,625K €,Lion City Sailors,Singapore,Premier League,CUW,5 Sept 1996,27 yrs,186 cm,Right,F,34,63,53,46,30,43,0,0,0,0,7.36,27
Shawal Anuar,105K €,Lion City Sailors,Singapore,Premier League,SIN,29 Apr 1991,32 yrs,164 cm,Right,F,7,64,59,47,31,46,0,0,0,0,7.27,27
Maxime Lestienne,1.1M €,Lion City Sailors,Singapore,Premier League,BEL,17 Jun 1992,31 yrs,176 cm,Left,M,17,72,87,50,35,73,0,0,0,0,8.69,27
Bart Ramselaar,2.1M €,Lion City Sailors,Singapore,Premier League,NED,29 Jun 1996,27 yrs,180 cm,Right,M,23,61,63,42,36,55,0,0,0,0,6.74,17
Anumanthan Kumar,73K €,Lion City Sailors,Singapore,Premier League,SIN,14 Jul 1994,29 yrs,178 cm,Right,M,6,45,54,46,46,45,0,0,0,0,6.86,28
Hariss Harun,185K €,Lion City Sailors,Singapore,Premier League,SIN,19 Nov 1990,33 yrs,178 cm,Right,D,14,37,47,39,46,41,0,0,0,0,6.65,28
Christopher Van Huizen,72K €,Lion City Sailors,Singapore,Premier League,SIN,28 Nov 1992,31 yrs,170 cm,Right,D,22,44,58,36,47,47,0,0,0,0,6.94,19
